1,VILLETTE,CHARLOTTE BRONTE,CLASSIC
2,PICWICK PAPERS,CHARLES DICKENS,CLASSIC
3,WUTHERING HEIGHTS,EMILY BRONTE,CLASSIC
4,GREAT SHORT WORKS OF FYODOR DOSTOEVSKY,FYODOR DOSTOEVSKY,CLASSIC
5,"LADY SUSAN, THE WATSONS, AND SANDITON",JANE AUSTEN,CLASSIC
6,LOVE AND FRIENDSHIP,JANE AUSTEN,CLASSIC
7,RESURRECTION,LEO TOLSTOY,CLASSIC
8,POIROT’S LAST CASE,AGATHA CHRISTIE,DETECTIVE
9,BY THE PRICKING OF MY THUMBS,AGATHA CHRISTIE,DETECTIVE
10,CARDS ON THE TABLE,AGATHA CHRISTIE,DETECTIVE
11,PERRY MASON: THE CASE OF THE ONE-EYED WITNESS,ERLE STANLEY GARDNER,DETECTIVE
12,DETECTION UNLIMITED,GEORGETTE HEYER,DETECTIVE
13,PLUM SPOOKY,JANET EVANOVICH,DETECTIVE
14,CAUSE OF DEATH,PATRICIA CORNWELL,DETECTIVE
15,POST MORTEM,PATRICIA CORNWELL,DETECTIVE
16,I IS FOR INNOCENT,SUE GRAFTON,DETECTIVE
17,THE MAN ON THE BALCONY,SJOWALL AND WAHLOO,DETECTIVE
18,NEEDFUL THINGS,STEPHEN KING,HORROR
19,FOUR PAST MIDNIGHT,STEPHEN KING,HORROR
20,EVERYTHING’S EVENTUAL,STEPHEN KING,HORROR
21,IT,STEPHEN KING,HORROR
22,CATCH 22,JOSEPH HELLER,HUMOUR
23,BIG BOOK OF MALICE,KHUSHWANT SINGH,HUMOUR
24,JOY IN THE MORNING,P G WODEHOUSE,HUMOUR
25,THE LIAR,STEPHEN FRY,HUMOUR
26,THE WHITE TIGER,ARAVIND ADIGA,INDIAN
27,LAST MAN IN TOWER,ARAVIND ADIGA,INDIAN
28,SADHUS- HOLY MEN OF INDIA,DOLF HART SUIKER,INDIA
29,FLOWER GARDENING 1-2-3,MEREDITH BOOKS,NOT FOR ISSUE
30,WINGS OF FIRE - AN AUTOBIOGRAPHY,APJ ABDUL KALAM,BIOGRAPHY
31,THE PASSION OF AYN RAND- BIOGRAPHY,BARABARA BRANDEN,BIOGRAPHY
32,THE MOTORCYCLE DIARIES,ERNESTO CHE GUEVERA,BIOGRAPHY
33,JINNAH - INDIA- PARTITION INDEPENDENCE,JASWANT SINGH,BIOGRAPHY
34,MY EXPERIMENTS WITH TRUTH,M K GANDHI,BIOGRAPHY
35,MY EXPERIMENTS WITH TRUTH,M K GANDHI,BIOGRAPHY
36,THE MAN WHO KNEW INFINITY- RAMANUJAN,ROBERT KANIGEL,BIOGRAPHY
37,THE INNER GAME OF MUSIC,BARRY GREEN/ W.TIMOTHY GALLWEY,HOBBIES
38,JUMPSTART DRAMA,DAVID FULTON,HOBBIES
39,NUMEROLOGY,HANS DECOZ,HOBBIES
40,HOLIDAYS IN THE HILLS,OUTLOOK TRAVELLER,H
41,PRACTICAL LOW FAT,PARRAGON PUBLISHING,HOBBIES
42,AROMA THERAPY,SWASTIK,HOBBIES
43,THE JOYS OF VEGETARIAN COOKING,TARLA DALAL,HOBBIES
44,ARTHA KRANTI,ARTHA KRANTI PUBLISHERS,INDIA
45,THE SCAM,DEBASHIS BASU/ SUCHETA DALAL,INDIA
46,INDIA A SHORT CULTURAL HISTORY,H. G . RAWLINSON,INDIA
47,THE DISCOVERY OF INDIA,JAWAHARLAL NEHRU,INDIA
48,U -TURN INDIA,D K HARI/ HEMA HARI,INDIA
49,HORN OK PLEASE HOPPING TO CONCLUSIONS,KARTIK IYENGAR,INDIA
50,INDIA INSIDE,NIRMALAYA KUMAR AND PHANISH PURANAM,INDIA
51,THE HISTORY OF INDIA,PERCIVAL SPEAR,INDIA
52,HOLY COW,SARAH MCDONALD,INDIA
53,THE SECOND COMING OF STEVE JOBS,ALAN DEUTSCHMAN,IT/MANAGEMENT
54,THE ROAD AHEAD,BILL GATES,IT/MANAGEMENT
55,RIBBLESTROP,ANDY MULLIGAN,F-HUMOUR
56,SKULDUGGERY PLEASANT,DEREK LANDY,F-SCIENCE FICTION/FANTASY
